Overall score	Negative	Neutral	Positive
0.0516	0.176	0.637	0.187
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4404	0.326	0.674	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.516	0.164	0.836	0.0
0.4215	0.0	0.641	0.359
0.0	0.0	1.0	0.0
-0.6408	0.253	0.687	0.06
0.0	0.0	1.0	0.0
-0.7549	0.383	0.617	0.0
0.4019	0.0	0.649	0.351
0.0	0.0	1.0	0.0
-0.5859	0.706	0.294	0.0
-0.824	0.445	0.555	0.0
-0.6037	0.31	0.69	0.0
0.34	0.241	0.37	0.389
-0.4404	0.796	0.204	0.0
-0.7404	0.23	0.77	0.0
-0.5766	0.283	0.717	0.0
-0.3818	0.224	0.776	0.0
-0.8271	0.367	0.633	0.0
-0.2732	0.426	0.328	0.246
-0.6037	0.354	0.517	0.128
-0.4466	0.211	0.789	0.0
0.5423	0.0	0.222	0.778
0.0	0.0	1.0	0.0
-0.34	0.194	0.806	0.0
0.296	0.212	0.438	0.35
0.7241	0.0	0.767	0.233
-0.3254	0.115	0.885	0.0
-0.296	0.306	0.694	0.0
-0.8851	0.463	0.537	0.0
0.0	0.0	1.0	0.0
-0.5859	0.487	0.513	0.0
-0.5423	0.189	0.811	0.0
-0.296	0.239	0.761	0.0
0.0	0.0	1.0	0.0
0.2732	0.0	0.704	0.296
-0.2808	0.151	0.849	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.296	0.18	0.82	0.0
-0.8159	0.332	0.668	0.0
0.3254	0.0	0.808	0.192
0.2342	0.161	0.62	0.219
0.0	0.0	1.0	0.0
-0.4215	0.286	0.714	0.0
0.0	0.0	1.0	0.0
-0.5106	0.35	0.51	0.14
-0.516	0.192	0.808	0.0
0.0772	0.0	0.874	0.126
0.0	0.0	1.0	0.0
-0.4278	0.205	0.795	0.0
0.0	0.0	1.0	0.0
-0.6705	0.619	0.381	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.516	0.294	0.706	0.0
0.0	0.0	1.0	0.0
0.6633	0.0	0.854	0.146
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.296	0.306	0.694	0.0
-0.296	0.136	0.864	0.0
0.0	0.0	1.0	0.0
-0.34	0.286	0.714	0.0
-0.5994	0.494	0.506	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.891	0.39	0.61	0.0
0.0	0.0	1.0	0.0
-0.5583	0.277	0.723	0.0
0.0	0.0	1.0	0.0
-0.4648	0.336	0.664	0.0
-0.9008	0.58	0.42	0.0
0.6207	0.107	0.618	0.275
0.0	0.0	1.0	0.0
-0.8331	0.595	0.405	0.0
0.4019	0.0	0.769	0.231
-0.4466	0.196	0.804	0.0
0.0	0.0	1.0	0.0
0.6239	0.0	0.662	0.338
-0.886	0.486	0.514	0.0
-0.516	0.386	0.434	0.18
-0.4003	0.252	0.748	0.0
0.3412	0.0	0.769	0.231
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.34	0.0	0.821	0.179
-0.8041	0.272	0.564	0.165
-0.1027	0.302	0.431	0.267
0.4215	0.0	0.763	0.237
-0.7404	0.325	0.675	0.0
0.4648	0.0	0.798	0.202
-0.2342	0.129	0.871	0.0
0.0	0.0	1.0	0.0
-0.2732	0.208	0.792	0.0
0.0516	0.217	0.553	0.23
-0.4466	0.227	0.773	0.0
-0.7096	0.697	0.303	0.0
-0.296	0.688	0.312	0.0
-0.7925	0.413	0.587	0.0
0.128	0.222	0.494	0.284
-0.5106	0.452	0.548	0.0
-0.8933	0.515	0.485	0.0
-0.7378	0.282	0.718	0.0
0.0	0.0	1.0	0.0
0.3554	0.117	0.682	0.201
-0.5719	0.327	0.55	0.123
0.0	0.0	1.0	0.0
-0.6249	0.389	0.611	0.0
0.296	0.0	0.556	0.444
0.4404	0.0	0.854	0.146
-0.2263	0.091	0.909	0.0
-0.4057	0.158	0.761	0.081
-0.296	0.239	0.761	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4278	0.204	0.689	0.107
-0.5267	0.274	0.726	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.6408	0.22	0.78	0.0
0.0	0.0	1.0	0.0
-0.7964	0.399	0.48	0.121
0.25	0.0	0.667	0.333
0.4019	0.0	0.649	0.351
-0.6841	0.302	0.592	0.106
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.6369	0.467	0.41	0.123
-0.5719	0.529	0.252	0.218
-0.0516	0.194	0.806	0.0
-0.6633	0.254	0.746	0.0
-0.6418	0.515	0.485	0.0
0.0	0.0	1.0	0.0
0.5622	0.0	0.782	0.218
-0.0516	0.166	0.677	0.156
0.4019	0.165	0.58	0.255
-0.7885	0.443	0.557	0.0
0.0	0.0	1.0	0.0
-0.4767	0.506	0.494	0.0
0.0	0.0	1.0	0.0
-0.2103	0.314	0.416	0.27
0.6037	0.0	0.718	0.282
-0.5719	0.327	0.55	0.123
0.3182	0.0	0.685	0.315
0.0	0.0	1.0	0.0
-0.6166	0.502	0.498	0.0
-0.2023	0.328	0.377	0.295
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.4466	0.079	0.733	0.188
-0.6329	0.341	0.659	0.0
-0.6418	0.261	0.739	0.0
0.0	0.0	1.0	0.0
-0.8679	0.429	0.571	0.0
-0.7672	0.387	0.498	0.115
-0.7213	0.432	0.411	0.157
0.0	0.0	1.0	0.0
-0.1531	0.242	0.582	0.176
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4767	0.22	0.78	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.5859	0.545	0.455	0.0
-0.3818	0.286	0.714	0.0
0.0	0.0	1.0	0.0
-0.4019	0.351	0.649	0.0
0.0	0.0	1.0	0.0
0.5766	0.074	0.62	0.306
0.0972	0.293	0.392	0.314
0.0	0.0	1.0	0.0
-0.4939	0.318	0.682	0.0
-0.296	0.355	0.645	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.7531	0.0	0.554	0.446
0.8056	0.0	0.592	0.408
-0.8769	0.452	0.548	0.0
0.4404	0.14	0.581	0.278
0.4404	0.0	0.633	0.367
0.0	0.0	1.0	0.0
-0.6633	0.168	0.832	0.0
-0.2732	0.208	0.792	0.0
0.3182	0.0	0.685	0.315
0.0516	0.0	0.806	0.194
0.296	0.0	0.645	0.355
0.8104	0.0	0.418	0.582
0.0	0.0	1.0	0.0
0.1779	0.0	0.841	0.159
-0.3818	0.126	0.874	0.0
0.0	0.0	1.0	0.0
0.6289	0.048	0.771	0.181
0.0	0.0	1.0	0.0
-0.5994	0.178	0.822	0.0
0.0258	0.129	0.737	0.134
0.6833	0.0	0.615	0.385
-0.516	0.294	0.706	0.0
-0.0516	0.356	0.319	0.324
0.5319	0.0	0.865	0.135
0.0	0.0	1.0	0.0
-0.5994	0.329	0.671	0.0
0.0	0.0	1.0	0.0
-0.296	0.239	0.761	0.0
0.4019	0.0	0.863	0.137
0.3182	0.0	0.892	0.108
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4939	0.231	0.769	0.0
0.0	0.0	1.0	0.0
-0.6705	0.579	0.421	0.0
0.0	0.0	1.0	0.0
-0.516	0.182	0.818	0.0
-0.9308	0.517	0.483	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4466	0.184	0.816	0.0
-0.7603	0.318	0.682	0.0
0.5719	0.0	0.73	0.27
0.7184	0.0	0.5	0.5
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.4995	0.264	0.736	0.0
0.5859	0.0	0.678	0.322
0.0	0.0	1.0	0.0
0.3034	0.0	0.817	0.183
0.0	0.0	1.0	0.0
-0.4404	0.592	0.408	0.0
0.0	0.0	1.0	0.0
0.296	0.0	0.645	0.355
0.0	0.0	1.0	0.0
-0.4215	0.337	0.51	0.153
0.4939	0.0	0.814	0.186
0.1779	0.137	0.683	0.18
-0.5473	0.178	0.822	0.0
-0.1531	0.211	0.789	0.0
-0.3818	0.302	0.698	0.0
-0.4824	0.135	0.865	0.0
0.0	0.0	1.0	0.0
-0.1027	0.259	0.741	0.0
-0.5766	0.384	0.616	0.0
-0.3818	0.722	0.278	0.0
0.0	0.0	1.0	0.0
-0.4939	0.677	0.323	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.8795	0.504	0.496	0.0
0.0	0.0	1.0	0.0
-0.2342	0.162	0.838	0.0
-0.296	0.239	0.761	0.0
-0.3818	0.565	0.435	0.0
0.296	0.0	0.556	0.444
-0.4939	0.151	0.849	0.0
0.0	0.0	1.0	0.0
0.3612	0.0	0.615	0.385
-0.6408	0.259	0.741	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.5319	0.357	0.643	0.0
0.0258	0.057	0.884	0.059
-0.4767	0.307	0.693	0.0
0.0	0.0	1.0	0.0
-0.7865	0.387	0.613	0.0
0.128	0.294	0.367	0.339
-0.6408	0.22	0.78	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.296	0.239	0.761	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.5859	0.0	0.568	0.432
-0.6289	0.423	0.577	0.0
0.5319	0.0	0.724	0.276
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.5106	0.355	0.645	0.0
-0.3254	0.233	0.767	0.0
-0.0516	0.066	0.934	0.0
0.296	0.0	0.732	0.268
0.4404	0.0	0.674	0.326
0.0	0.0	1.0	0.0
0.4767	0.0	0.423	0.577
0.0	0.0	1.0	0.0
0.5574	0.0	0.625	0.375
-0.8613	0.406	0.594	0.0
-0.1027	0.104	0.896	0.0
0.0	0.0	1.0	0.0
0.3818	0.0	0.867	0.133
-0.4019	0.278	0.722	0.0
0.0	0.0	1.0	0.0
0.3612	0.0	0.615	0.385
0.0258	0.312	0.367	0.321
-0.5994	0.281	0.719	0.0
0.802	0.0	0.41	0.59
0.0	0.0	1.0	0.0
-0.7761	0.429	0.571	0.0
-0.1531	0.286	0.714	0.0
-0.4215	0.483	0.517	0.0
-0.4767	0.437	0.563	0.0
-0.5473	0.306	0.694	0.0
-0.9345	0.368	0.632	0.0
0.1943	0.18	0.594	0.226
-0.5574	0.34	0.66	0.0
0.3818	0.0	0.794	0.206
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.6908	0.099	0.562	0.339
-0.128	0.6	0.4	0.0
0.0	0.0	1.0	0.0
0.516	0.0	0.706	0.294
0.4995	0.0	0.823	0.177
0.0	0.0	1.0	0.0
-0.8613	0.465	0.535	0.0
-0.8613	0.465	0.535	0.0
-0.6166	0.149	0.851	0.0
-0.4404	0.42	0.58	0.0
0.0	0.0	1.0	0.0
-0.6289	0.292	0.708	0.0
0.296	0.0	0.732	0.268
0.6239	0.0	0.796	0.204
-0.3818	0.403	0.417	0.181
-0.5994	0.494	0.506	0.0
0.0	0.0	1.0	0.0
-0.6166	0.366	0.634	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.4767	0.167	0.52	0.313
0.4767	0.167	0.52	0.313
0.0	0.0	1.0	0.0
0.4404	0.0	0.854	0.146
0.4824	0.0	0.836	0.164
0.2577	0.151	0.638	0.211
0.0	0.0	1.0	0.0
-0.694	0.373	0.488	0.14
-0.5267	0.459	0.541	0.0
0.0	0.0	1.0	0.0
-0.4767	0.147	0.853	0.0
-0.4215	0.237	0.763	0.0
0.0	0.0	1.0	0.0
-0.1531	0.342	0.658	0.0
-0.4466	0.109	0.847	0.044
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.3924	0.0	0.878	0.122
0.0	0.0	1.0	0.0
-0.0601	0.327	0.421	0.253
-0.516	0.204	0.796	0.0
-0.1027	0.167	0.833	0.0
-0.4824	0.309	0.691	0.0
0.0	0.0	1.0	0.0
-0.0516	0.375	0.625	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.7865	0.387	0.613	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.296	0.239	0.761	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.87	0.388	0.543	0.069
-0.2263	0.16	0.84	0.0
-0.7865	0.409	0.591	0.0
0.0	0.0	1.0	0.0
-0.2263	0.275	0.725	0.0
0.0	0.0	1.0	0.0
-0.3034	0.138	0.862	0.0
0.6478	0.0	0.763	0.237
0.0	0.0	1.0	0.0
-0.8622	0.425	0.575	0.0
0.0	0.0	1.0	0.0
-0.296	0.136	0.864	0.0
0.0258	0.312	0.367	0.321
0.5859	0.0	0.84	0.16
-0.6633	0.266	0.734	0.0
0.0	0.0	1.0	0.0
-0.7824	0.433	0.567	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.2263	0.123	0.711	0.166
-0.0516	0.13	0.87	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.5994	0.494	0.506	0.0
0.2023	0.0	0.795	0.205
-0.516	0.143	0.857	0.0
-0.2263	0.293	0.707	0.0
0.0	0.0	1.0	0.0
0.128	0.0	0.727	0.273
-0.1027	0.219	0.781	0.0
-0.2342	0.139	0.861	0.0
-0.3182	0.277	0.723	0.0
0.5423	0.0	0.462	0.538
-0.8613	0.465	0.535	0.0
-0.6633	0.104	0.896	0.0
-0.593	0.181	0.768	0.052
0.8074	0.168	0.51	0.321
-0.296	0.115	0.885	0.0
0.0	0.0	1.0	0.0
-0.0772	0.345	0.345	0.31
0.0	0.0	1.0	0.0
-0.6447	0.324	0.676	0.0
-0.34	0.375	0.625	0.0
0.0	0.0	1.0	0.0
-0.5423	0.368	0.632	0.0
0.0	0.0	1.0	0.0
-0.6486	0.515	0.485	0.0
-0.4019	0.31	0.69	0.0
-0.7351	0.246	0.754	0.0
0.7672	0.0	0.576	0.424
-0.34	0.118	0.882	0.0
-0.7626	0.621	0.379	0.0
0.4883	0.085	0.761	0.154
-0.5267	0.362	0.638	0.0
-0.8143	0.426	0.574	0.0
-0.1027	0.076	0.924	0.0
-0.4767	0.307	0.693	0.0
0.0	0.0	1.0	0.0
0.5719	0.0	0.575	0.425
0.0	0.0	1.0	0.0
-0.7125	0.18	0.82	0.0
-0.5994	0.358	0.642	0.0
-0.6166	0.386	0.459	0.155
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.2732	0.122	0.704	0.174
-0.1027	0.091	0.909	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.5106	0.0	0.645	0.355
0.3818	0.0	0.658	0.342
0.0	0.0	1.0	0.0
0.4215	0.0	0.417	0.583
-0.1531	0.186	0.814	0.0
0.0258	0.0	0.82	0.18
-0.6841	0.319	0.681	0.0
0.3034	0.0	0.729	0.271
0.0	0.0	1.0	0.0
-0.1027	0.167	0.833	0.0
0.6369	0.0	0.811	0.189
-0.2732	0.344	0.656	0.0
-0.8877	0.466	0.534	0.0
-0.3818	0.394	0.606	0.0
-0.34	0.167	0.833	0.0
0.0	0.0	1.0	0.0
-0.3818	0.342	0.658	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.9081	0.756	0.244	0.0
0.6841	0.0	0.681	0.319
-0.505	0.369	0.457	0.174
-0.5994	0.438	0.562	0.0
-0.6908	0.588	0.412	0.0
-0.1027	0.308	0.417	0.275
-0.2263	0.322	0.46	0.218
0.0	0.0	1.0	0.0
-0.3818	0.302	0.698	0.0
-0.9062	0.637	0.363	0.0
0.0	0.0	1.0	0.0
-0.7003	0.407	0.441	0.151
0.0	0.0	1.0	0.0
0.4019	0.0	0.526	0.474
0.4404	0.0	0.828	0.172
0.5719	0.0	0.654	0.346
-0.1027	0.192	0.641	0.167
-0.6124	0.714	0.286	0.0
0.2263	0.0	0.759	0.241
-0.6523	0.327	0.673	0.0
-0.6249	0.406	0.594	0.0
0.0	0.0	1.0	0.0
0.5319	0.0	0.803	0.197
-0.5423	0.474	0.526	0.0
-0.3818	0.302	0.698	0.0
-0.3954	0.192	0.711	0.097
-0.743	0.677	0.323	0.0
-0.6523	0.327	0.673	0.0
0.0	0.0	1.0	0.0
-0.6249	0.836	0.164	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.2083	0.104	0.754	0.143
-0.0516	0.066	0.934	0.0
-0.3612	0.263	0.737	0.0
0.7672	0.0	0.513	0.487
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.128	0.086	0.914	0.0
-0.5766	0.293	0.707	0.0
0.0	0.0	1.0	0.0
-0.8268	0.216	0.784	0.0
-0.0516	0.167	0.833	0.0
-0.4824	0.148	0.852	0.0
0.0	0.0	1.0	0.0
-0.8176	0.556	0.444	0.0
-0.2656	0.288	0.534	0.178
-0.1027	0.076	0.924	0.0
-0.4466	0.184	0.816	0.0
-0.3182	0.161	0.839	0.0
0.0	0.0	1.0	0.0
0.7003	0.0	0.463	0.537
-0.0516	0.231	0.769	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.1027	0.097	0.903	0.0
0.0	0.0	1.0	0.0
0.0762	0.0	0.861	0.139
-0.4404	0.326	0.674	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0601	0.137	0.713	0.15
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.9081	0.756	0.244	0.0
0.0	0.0	1.0	0.0
-0.368	0.221	0.641	0.139
-0.1027	0.135	0.865	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.1531	0.0	0.789	0.211
0.0	0.0	1.0	0.0
-0.3612	0.204	0.619	0.177
0.6705	0.0	0.476	0.524
0.5106	0.0	0.548	0.452
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.5319	0.0	0.593	0.407
-0.1027	0.076	0.924	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.6369	0.286	0.714	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.296	0.136	0.864	0.0
-0.25	0.089	0.842	0.069
0.3885	0.117	0.685	0.197
0.3612	0.0	0.8	0.2
-0.3034	0.157	0.843	0.0
0.0	0.0	1.0	0.0
0.5859	0.0	0.808	0.192
-0.3818	0.157	0.843	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.6705	0.0	0.744	0.256
0.0516	0.255	0.472	0.274
0.0	0.0	1.0	0.0
0.5859	0.0	0.808	0.192
0.2732	0.0	0.937	0.063
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.3542	0.232	0.36	0.408
0.5267	0.0	0.541	0.459
0.5106	0.155	0.632	0.213
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.5859	0.348	0.652	0.0
0.0	0.0	1.0	0.0
0.1027	0.159	0.652	0.188
0.4588	0.0	0.625	0.375
0.0	0.0	1.0	0.0
-0.34	0.37	0.435	0.196
0.4019	0.0	0.597	0.403
0.0	0.0	1.0	0.0
-0.4404	0.293	0.707	0.0
0.0	0.0	1.0	0.0
-0.5461	0.15	0.85	0.0
0.0	0.0	1.0	0.0
-0.6249	0.506	0.494	0.0
-0.9022	0.689	0.311	0.0
0.4404	0.0	0.58	0.42
-0.7125	0.354	0.646	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.1531	0.138	0.862	0.0
0.0	0.0	1.0	0.0
-0.5574	0.217	0.783	0.0
-0.4939	0.39	0.61	0.0
-0.5106	0.292	0.708	0.0
0.0	0.0	1.0	0.0
0.3182	0.0	0.796	0.204
0.4215	0.0	0.682	0.318
0.0	0.0	1.0	0.0
0.7481	0.0	0.749	0.251
-0.8126	0.376	0.526	0.098
-0.2808	0.141	0.859	0.0
-0.9062	0.617	0.383	0.0
0.4404	0.0	0.508	0.492
-0.7672	0.356	0.644	0.0
-0.5267	0.362	0.638	0.0
