Overall score	Negative	Neutral	Positive
-0.5719	0.191	0.693	0.116
-0.0516	0.212	0.61	0.177
0.2626	0.123	0.725	0.152
0.25	0.069	0.805	0.126
0.0	0.0	1.0	0.0
-0.296	0.121	0.879	0.0
0.4703	0.052	0.826	0.123
0.3612	0.071	0.817	0.112
0.6597	0.095	0.644	0.261
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.8221	0.311	0.689	0.0
-0.0772	0.046	0.954	0.0
-0.4588	0.25	0.75	0.0
0.4404	0.132	0.646	0.222
-0.3612	0.294	0.706	0.0
0.8316	0.043	0.661	0.296
-0.875	0.344	0.656	0.0
0.1531	0.183	0.611	0.206
0.0	0.0	1.0	0.0
-0.8225	0.257	0.743	0.0
-0.4215	0.189	0.811	0.0
-0.8519	0.374	0.519	0.106
0.4265	0.031	0.886	0.083
-0.6249	0.338	0.662	0.0
-0.6249	0.421	0.579	0.0
-0.6597	0.312	0.586	0.102
-0.1027	0.149	0.851	0.0
-0.296	0.216	0.784	0.0
0.0	0.0	1.0	0.0
0.0772	0.0	0.957	0.043
-0.7269	0.379	0.621	0.0
-0.7351	0.273	0.604	0.123
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0015	0.294	0.48	0.226
-0.4767	0.451	0.549	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.4939	0.0	0.738	0.262
-0.2263	0.19	0.675	0.135
0.0	0.0	1.0	0.0
-0.4356	0.183	0.746	0.072
0.4249	0.0	0.742	0.258
0.4168	0.0	0.824	0.176
-0.4767	0.193	0.807	0.0
0.3182	0.0	0.753	0.247
-0.2263	0.259	0.588	0.153
-0.775	0.245	0.755	0.0
-0.5994	0.38	0.62	0.0
-0.7269	0.296	0.658	0.045
-0.4588	0.231	0.769	0.0
0.0772	0.133	0.76	0.106
-0.8316	0.341	0.659	0.0
0.0	0.0	1.0	0.0
-0.296	0.18	0.82	0.0
-0.4019	0.381	0.619	0.0
0.6808	0.0	0.682	0.318
0.0516	0.068	0.856	0.077
-0.4939	0.231	0.769	0.0
0.6369	0.0	0.811	0.189
0.0	0.0	1.0	0.0
-0.6249	0.313	0.687	0.0
-0.4588	0.273	0.727	0.0
0.0	0.065	0.87	0.065
-0.3818	0.286	0.714	0.0
0.0	0.0	1.0	0.0
0.4253	0.111	0.634	0.255
0.0	0.0	1.0	0.0
-0.8211	0.319	0.551	0.13
0.0	0.0	1.0	0.0
-0.7178	0.218	0.726	0.057
0.2023	0.0	0.893	0.107
-0.4767	0.237	0.763	0.0
0.128	0.158	0.695	0.146
-0.4019	0.252	0.748	0.0
-0.4404	0.2	0.702	0.098
0.7184	0.0	0.455	0.545
0.0	0.0	1.0	0.0
0.8481	0.0	0.726	0.274
0.25	0.11	0.78	0.11
0.0258	0.0	0.936	0.064
-0.8176	0.332	0.565	0.102
0.0	0.0	1.0	0.0
0.1027	0.181	0.575	0.243
0.0	0.0	1.0	0.0
0.5023	0.0	0.831	0.169
-0.1027	0.2	0.636	0.164
-0.8934	0.297	0.703	0.0
0.5267	0.0	0.764	0.236
0.4019	0.0	0.912	0.088
0.6486	0.0	0.739	0.261
-0.8176	0.463	0.537	0.0
0.0258	0.1	0.797	0.104
0.0	0.0	1.0	0.0
0.0516	0.2	0.583	0.217
0.0	0.0	1.0	0.0
0.25	0.065	0.815	0.12
-0.6908	0.343	0.657	0.0
-0.5994	0.211	0.789	0.0
-0.5423	0.429	0.571	0.0
-0.1027	0.09	0.833	0.077
0.2023	0.081	0.811	0.108
-0.6204	0.194	0.806	0.0
-0.2732	0.111	0.814	0.075
0.2263	0.081	0.783	0.136
-0.4767	0.307	0.693	0.0
-0.4404	0.266	0.734	0.0
-0.4404	0.112	0.842	0.046
-0.6249	0.362	0.638	0.0
-0.3818	0.193	0.733	0.073
-0.4588	0.25	0.75	0.0
-0.4767	0.119	0.881	0.0
0.2846	0.082	0.773	0.146
0.5574	0.0	0.845	0.155
-0.0	0.057	0.887	0.057
-0.4404	0.2	0.702	0.098
0.3612	0.0	0.706	0.294
0.7227	0.0	0.63	0.37
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.7964	0.0	0.464	0.536
0.0	0.0	1.0	0.0
-0.5187	0.282	0.497	0.221
-0.6908	0.218	0.716	0.066
-0.5267	0.222	0.703	0.076
-0.5574	0.129	0.871	0.0
-0.6908	0.234	0.677	0.089
-0.296	0.115	0.885	0.0
-0.5719	0.54	0.46	0.0
0.0	0.0	1.0	0.0
-0.2263	0.251	0.601	0.148
0.4939	0.0	0.61	0.39
-0.8271	0.244	0.756	0.0
0.0	0.0	1.0	0.0
0.5994	0.0	0.606	0.394
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0772	0.0	0.885	0.115
0.4588	0.056	0.766	0.177
0.86	0.0	0.386	0.614
-0.5719	0.121	0.879	0.0
-0.4404	0.367	0.633	0.0
0.0	0.0	1.0	0.0
-0.1027	0.147	0.733	0.12
-0.5719	0.485	0.515	0.0
0.6369	0.0	0.756	0.244
0.296	0.061	0.826	0.113
-0.5423	0.44	0.4	0.16
-0.4767	0.097	0.903	0.0
0.2023	0.0	0.847	0.153
-0.128	0.176	0.824	0.0
-0.8126	0.29	0.71	0.0
0.5994	0.0	0.874	0.126
-0.4019	0.093	0.867	0.04
-0.4588	0.286	0.714	0.0
0.7184	0.077	0.739	0.183
0.0	0.0	1.0	0.0
0.4404	0.0	0.854	0.146
-0.34	0.211	0.789	0.0
0.0	0.0	1.0	0.0
-0.5994	0.191	0.809	0.0
-0.2392	0.142	0.775	0.083
0.0	0.0	1.0	0.0
-0.5267	0.161	0.839	0.0
-0.0258	0.144	0.718	0.138
0.5556	0.0	0.521	0.479
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.0258	0.151	0.703	0.146
0.4215	0.0	0.714	0.286
-0.6249	0.269	0.674	0.057
0.0	0.0	1.0	0.0
0.7003	0.0	0.812	0.188
0.0	0.0	1.0	0.0
-0.4939	0.349	0.476	0.175
0.34	0.211	0.523	0.266
-0.4588	0.333	0.667	0.0
0.0	0.0	1.0	0.0
-0.1027	0.123	0.877	0.0
-0.296	0.136	0.864	0.0
0.4215	0.081	0.739	0.18
0.0	0.0	1.0	0.0
0.2023	0.137	0.701	0.162
0.3818	0.0	0.729	0.271
0.0	0.0	1.0	0.0
-0.4168	0.093	0.907	0.0
0.34	0.0	0.888	0.112
0.1531	0.183	0.611	0.206
-0.34	0.231	0.769	0.0
-0.5106	0.215	0.707	0.077
-0.296	0.121	0.879	0.0
-0.1779	0.176	0.669	0.155
-0.7184	0.5	0.5	0.0
-0.7845	0.269	0.659	0.072
-0.0772	0.109	0.792	0.098
0.0258	0.147	0.702	0.151
-0.9169	0.4	0.546	0.055
-0.6808	0.283	0.625	0.092
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.5267	0.254	0.746	0.0
-0.4588	0.111	0.889	0.0
-0.7184	0.241	0.759	0.0
0.0	0.177	0.645	0.177
0.5574	0.199	0.521	0.279
0.0	0.0	1.0	0.0
-0.4404	0.098	0.862	0.04
-0.7717	0.268	0.732	0.0
-0.6486	0.469	0.531	0.0
0.0	0.177	0.645	0.177
-0.296	0.136	0.864	0.0
-0.1531	0.228	0.588	0.184
-0.8885	0.316	0.684	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.2023	0.137	0.686	0.176
0.3818	0.0	0.794	0.206
0.0	0.0	1.0	0.0
0.3612	0.053	0.842	0.105
-0.2519	0.109	0.783	0.109
-0.5505	0.132	0.868	0.0
0.3182	0.206	0.496	0.298
-0.5719	0.251	0.749	0.0
-0.3612	0.238	0.762	0.0
-0.296	0.163	0.737	0.1
0.4019	0.0	0.69	0.31
0.4939	0.037	0.816	0.147
-0.1027	0.149	0.851	0.0
0.4939	0.0	0.814	0.186
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.7269	0.312	0.496	0.192
-0.6369	0.342	0.658	0.0
0.8176	0.0	0.721	0.279
0.9001	0.052	0.598	0.351
-0.3182	0.101	0.85	0.049
0.5106	0.0	0.852	0.148
-0.34	0.231	0.769	0.0
0.0	0.0	1.0	0.0
-0.3182	0.277	0.723	0.0
-0.4019	0.172	0.828	0.0
0.7579	0.0	0.435	0.565
-0.25	0.184	0.684	0.132
-0.4215	0.375	0.469	0.156
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.3182	0.187	0.813	0.0
0.0	0.0	1.0	0.0
-0.765	0.241	0.759	0.0
0.2716	0.0	0.884	0.116
-0.4767	0.292	0.543	0.165
0.0387	0.146	0.736	0.118
0.0	0.0	1.0	0.0
0.5994	0.087	0.68	0.232
-0.4215	0.322	0.678	0.0
0.25	0.13	0.648	0.222
-0.8074	0.3	0.7	0.0
0.0062	0.172	0.594	0.233
0.7579	0.0	0.316	0.684
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.3612	0.075	0.893	0.032
0.5267	0.064	0.75	0.186
-0.3818	0.135	0.865	0.0
0.4404	0.0	0.775	0.225
0.0	0.0	1.0	0.0
0.5994	0.04	0.825	0.135
-0.5175	0.448	0.376	0.176
-0.3818	0.122	0.878	0.0
0.6808	0.069	0.719	0.212
0.7351	0.0	0.78	0.22
0.1779	0.058	0.866	0.076
-0.4019	0.425	0.575	0.0
0.5106	0.0	0.645	0.355
-0.8225	0.294	0.706	0.0
0.2023	0.081	0.811	0.108
0.3612	0.086	0.719	0.194
0.9042	0.0	0.365	0.635
0.4019	0.0	0.769	0.231
0.5849	0.0	0.649	0.351
0.4767	0.0	0.579	0.421
0.0	0.0	1.0	0.0
-0.7096	0.296	0.704	0.0
-0.5423	0.249	0.63	0.12
0.765	0.0	0.694	0.306
-0.9081	0.608	0.392	0.0
0.128	0.222	0.513	0.265
0.25	0.147	0.529	0.324
-0.5362	0.298	0.539	0.164
0.6086	0.162	0.339	0.499
-0.8934	0.414	0.586	0.0
-0.2263	0.251	0.601	0.148
0.0	0.0	1.0	0.0
0.8857	0.084	0.623	0.293
-0.6808	0.223	0.723	0.054
-0.7783	0.438	0.562	0.0
0.6124	0.038	0.788	0.174
-0.5106	0.195	0.737	0.068
0.0	0.0	1.0	0.0
0.4215	0.151	0.556	0.294
0.5859	0.0	0.827	0.173
0.783	0.037	0.758	0.205
-0.6597	0.268	0.637	0.096
0.0	0.0	1.0	0.0
-0.296	0.084	0.916	0.0
-0.7096	0.457	0.543	0.0
-0.5719	0.144	0.856	0.0
0.2584	0.0	0.915	0.085
-0.1779	0.198	0.693	0.109
-0.7783	0.201	0.799	0.0
0.4019	0.0	0.769	0.231
0.5413	0.0	0.857	0.143
-0.5994	0.394	0.606	0.0
0.0	0.0	1.0	0.0
0.25	0.0	0.75	0.25
-0.1027	0.149	0.851	0.0
-0.25	0.184	0.684	0.132
-0.8316	0.268	0.732	0.0
0.2023	0.0	0.93	0.07
-0.296	0.239	0.761	0.0
0.5267	0.06	0.767	0.173
-0.2263	0.213	0.631	0.156
-0.8658	0.312	0.6	0.088
0.0	0.0	1.0	0.0
0.6249	0.0	0.495	0.505
0.296	0.124	0.709	0.167
-0.91	0.527	0.366	0.106
0.0	0.0	1.0	0.0
0.1779	0.292	0.378	0.33
-0.7184	0.226	0.774	0.0
-0.5994	0.565	0.435	0.0
0.0772	0.168	0.645	0.187
-0.0258	0.15	0.703	0.147
-0.4939	0.127	0.873	0.0
-0.6597	0.39	0.61	0.0
-0.7269	0.169	0.831	0.0
0.4404	0.0	0.828	0.172
0.0	0.0	1.0	0.0
-0.6956	0.277	0.723	0.0
0.0	0.0	1.0	0.0
0.5719	0.085	0.543	0.372
-0.8402	0.286	0.714	0.0
-0.8176	0.463	0.537	0.0
-0.3182	0.166	0.759	0.076
0.1513	0.079	0.79	0.131
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.1779	0.058	0.84	0.102
-0.4404	0.182	0.818	0.0
0.0	0.0	1.0	0.0
-0.2263	0.177	0.734	0.089
-0.7579	0.349	0.651	0.0
-0.7346	0.238	0.688	0.074
0.0	0.0	1.0	0.0
-0.4215	0.248	0.579	0.174
0.0	0.0	1.0	0.0
0.3818	0.091	0.714	0.195
0.0	0.0	1.0	0.0
-0.34	0.255	0.745	0.0
-0.3612	0.193	0.749	0.059
-0.1531	0.259	0.575	0.167
-0.204	0.1	0.828	0.072
-0.1027	0.077	0.867	0.056
0.0772	0.0	0.86	0.14
-0.5106	0.355	0.645	0.0
0.34	0.0	0.745	0.255
0.0	0.0	1.0	0.0
-0.5719	0.222	0.778	0.0
-0.4404	0.157	0.843	0.0
-0.3182	0.18	0.743	0.077
0.743	0.0	0.814	0.186
0.0258	0.178	0.637	0.185
-0.4939	0.211	0.789	0.0
0.0	0.0	1.0	0.0
0.6908	0.0	0.801	0.199
0.0	0.0	1.0	0.0
-0.6542	0.237	0.674	0.089
0.0	0.0	1.0	0.0
-0.5994	0.274	0.726	0.0
-0.5719	0.269	0.628	0.103
-0.296	0.081	0.919	0.0
-0.6608	0.192	0.808	0.0
-0.296	0.167	0.833	0.0
-0.5719	0.316	0.684	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0258	0.252	0.388	0.359
0.0	0.0	1.0	0.0
-0.5106	0.215	0.707	0.077
0.5859	0.0	0.774	0.226
0.1779	0.079	0.822	0.099
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.2023	0.228	0.614	0.158
-0.3182	0.093	0.907	0.0
-0.2732	0.231	0.769	0.0
-0.34	0.215	0.62	0.164
-0.4767	0.313	0.687	0.0
0.0	0.0	1.0	0.0
-0.0772	0.098	0.82	0.082
-0.1511	0.067	0.933	0.0
0.7096	0.182	0.486	0.332
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.2782	0.114	0.69	0.196
-0.6124	0.192	0.808	0.0
0.296	0.058	0.833	0.108
-0.296	0.216	0.784	0.0
0.0	0.0	1.0	0.0
0.3182	0.0	0.796	0.204
-0.1531	0.151	0.849	0.0
-0.1027	0.167	0.833	0.0
-0.3818	0.245	0.755	0.0
0.0	0.0	1.0	0.0
0.3412	0.0	0.769	0.231
-0.34	0.082	0.918	0.0
0.0	0.099	0.803	0.099
-0.8126	0.266	0.665	0.069
-0.4767	0.383	0.617	0.0
-0.1531	0.157	0.746	0.097
0.0	0.0	1.0	0.0
-0.296	0.18	0.82	0.0
-0.8225	0.437	0.444	0.119
0.2023	0.175	0.583	0.242
0.3612	0.105	0.677	0.218
-0.4939	0.225	0.775	0.0
-0.34	0.255	0.745	0.0
0.4215	0.0	0.781	0.219
0.7579	0.0	0.817	0.183
0.0	0.0	1.0	0.0
0.024	0.139	0.675	0.185
0.5719	0.0	0.73	0.27
0.5023	0.0	0.847	0.153
-0.296	0.121	0.879	0.0
-0.4278	0.147	0.781	0.073
-0.4412	0.116	0.836	0.047
0.25	0.0	0.882	0.118
-0.296	0.18	0.82	0.0
0.3612	0.0	0.815	0.185
0.802	0.0	0.357	0.643
-0.4939	0.314	0.686	0.0
-0.0516	0.167	0.833	0.0
0.0	0.0	1.0	0.0
0.3818	0.0	0.658	0.342
-0.0516	0.17	0.667	0.164
0.891	0.0	0.665	0.335
0.8307	0.0	0.681	0.319
-0.743	0.344	0.656	0.0
-0.765	0.226	0.774	0.0
0.4215	0.058	0.841	0.101
0.875	0.069	0.583	0.347
0.4019	0.0	0.69	0.31
-0.5106	0.088	0.883	0.029
0.0	0.0	1.0	0.0
-0.3818	0.14	0.86	0.0
-0.4215	0.252	0.583	0.166
-0.4767	0.372	0.531	0.097
0.4019	0.0	0.722	0.278
-0.1027	0.065	0.935	0.0
0.0	0.0	1.0	0.0
-0.5106	0.202	0.798	0.0
-0.5267	0.306	0.694	0.0
-0.5267	0.176	0.769	0.055
0.6124	0.113	0.567	0.32
0.0	0.0	1.0	0.0
0.0516	0.194	0.597	0.209
-0.8074	0.3	0.7	0.0
0.7269	0.0	0.458	0.542
-0.743	0.474	0.526	0.0
-0.93	0.269	0.731	0.0
-0.6705	0.193	0.807	0.0
-0.5423	0.429	0.571	0.0
0.1154	0.0	0.932	0.068
0.431	0.0	0.759	0.241
0.4767	0.142	0.586	0.272
0.0	0.0	1.0	0.0
-0.6808	0.272	0.728	0.0
0.3612	0.0	0.815	0.185
0.3182	0.086	0.757	0.157
-0.7184	0.25	0.75	0.0
-0.4215	0.078	0.922	0.0
0.6369	0.052	0.741	0.207
-0.8555	0.294	0.706	0.0
0.5777	0.0	0.828	0.172
0.2023	0.0	0.795	0.205
0.0	0.0	1.0	0.0
0.296	0.054	0.846	0.1
0.3291	0.053	0.811	0.136
0.0	0.0	1.0	0.0
-0.296	0.109	0.891	0.0
0.0	0.0	1.0	0.0
0.3182	0.107	0.687	0.206
-0.1027	0.123	0.877	0.0
0.4019	0.0	0.722	0.278
-0.296	0.155	0.845	0.0
0.0	0.0	1.0	0.0
-0.4588	0.1	0.9	0.0
0.0	0.0	1.0	0.0
0.5386	0.148	0.591	0.262
-0.8885	0.49	0.456	0.054
-0.3818	0.08	0.92	0.0
-0.4767	0.154	0.846	0.0
-0.4019	0.197	0.803	0.0
0.2235	0.0	0.827	0.173
0.0	0.0	1.0	0.0
-0.4767	0.171	0.829	0.0
0.2023	0.091	0.824	0.085
0.0772	0.129	0.767	0.105
-0.5423	0.314	0.571	0.114
0.6597	0.0	0.779	0.221
0.3612	0.136	0.583	0.282
-0.34	0.467	0.333	0.2
-0.4215	0.483	0.517	0.0
0.3818	0.0	0.776	0.224
0.4588	0.064	0.814	0.122
0.0772	0.159	0.647	0.194
-0.0516	0.107	0.893	0.0
-0.2023	0.14	0.779	0.081
-0.0516	0.054	0.946	0.0
-0.5594	0.262	0.738	0.0
-0.128	0.179	0.667	0.154
0.4754	0.091	0.684	0.225
-0.0013	0.094	0.848	0.058
0.2023	0.0	0.878	0.122
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.7184	0.214	0.786	0.0
-0.7506	0.227	0.734	0.038
-0.5423	0.412	0.588	0.0
-0.3818	0.265	0.735	0.0
-0.8225	0.375	0.625	0.0
-0.1779	0.395	0.382	0.223
0.3612	0.0	0.828	0.172
-0.4215	0.186	0.722	0.093
0.3818	0.0	0.809	0.191
0.0	0.0	1.0	0.0
-0.8591	0.297	0.603	0.1
-0.6124	0.5	0.5	0.0
-0.7096	0.541	0.459	0.0
0.3818	0.0	0.729	0.271
0.4215	0.0	0.843	0.157
-0.4767	0.129	0.871	0.0
0.6705	0.033	0.78	0.187
0.3818	0.0	0.843	0.157
-0.34	0.179	0.821	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.6908	0.18	0.82	0.0
0.0	0.0	1.0	0.0
0.4019	0.0	0.649	0.351
0.2732	0.083	0.797	0.12
0.0	0.0	1.0	0.0
0.6369	0.0	0.802	0.198
0.0	0.0	1.0	0.0
-0.296	0.078	0.922	0.0
0.4767	0.0	0.823	0.177
0.0258	0.266	0.461	0.273
-0.4404	0.456	0.4	0.144
0.0258	0.126	0.802	0.072
-0.2732	0.077	0.923	0.0
0.1531	0.221	0.536	0.243
-0.802	0.387	0.613	0.0
0.802	0.0	0.357	0.643
0.0	0.0	1.0	0.0
0.296	0.086	0.742	0.172
-0.4404	0.252	0.593	0.156
0.0	0.0	1.0	0.0
0.1779	0.058	0.84	0.102
0.4767	0.0	0.846	0.154
-0.6249	0.451	0.549	0.0
0.0	0.0	1.0	0.0
-0.2924	0.177	0.731	0.093
-0.5859	0.343	0.542	0.114
-0.6908	0.273	0.648	0.078
0.0	0.0	1.0	0.0
-0.296	0.145	0.855	0.0
-0.3818	0.206	0.794	0.0
0.0	0.0	1.0	0.0
0.25	0.192	0.538	0.269
0.0	0.153	0.694	0.153
0.7506	0.0	0.748	0.252
0.0	0.0	1.0	0.0
0.1779	0.085	0.788	0.127
0.2755	0.0	0.791	0.209
-0.8519	0.329	0.671	0.0
0.0	0.0	1.0	0.0
0.2718	0.169	0.658	0.173
-0.4939	0.286	0.714	0.0
-0.3818	0.245	0.755	0.0
0.6115	0.068	0.714	0.218
-0.0516	0.054	0.946	0.0
0.6124	0.0	0.844	0.156
0.128	0.092	0.795	0.113
-0.4777	0.181	0.673	0.146
0.0	0.0	1.0	0.0
0.25	0.0	0.935	0.065
0.5106	0.0	0.602	0.398
0.296	0.14	0.6	0.26
0.3612	0.194	0.452	0.355
0.5106	0.0	0.68	0.32
-0.6437	0.214	0.786	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.7506	0.0	0.807	0.193
-0.0516	0.052	0.948	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.9371	0.028	0.607	0.364
0.0	0.0	1.0	0.0
-0.7003	0.238	0.718	0.045
0.1531	0.135	0.71	0.155
-0.296	0.242	0.758	0.0
0.4019	0.051	0.842	0.108
0.8481	0.0	0.685	0.315
-0.6249	0.175	0.825	0.0
0.2023	0.0	0.94	0.06
0.4215	0.0	0.714	0.286
0.0653	0.095	0.738	0.167
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.3182	0.171	0.736	0.094
-0.3182	0.204	0.796	0.0
0.0	0.0	1.0	0.0
-0.4767	0.195	0.724	0.081
-0.4588	0.129	0.871	0.0
0.93	0.0	0.562	0.438
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.3818	0.178	0.822	0.0
-0.4404	0.266	0.734	0.0
0.4404	0.0	0.707	0.293
0.296	0.111	0.694	0.194
0.368	0.0	0.734	0.266
-0.7096	0.294	0.632	0.074
-0.3612	0.185	0.815	0.0
0.0516	0.256	0.465	0.279
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.296	0.056	0.84	0.104
0.2023	0.0	0.816	0.184
0.0258	0.19	0.612	0.197
-0.4215	0.219	0.781	0.0
-0.5859	0.195	0.805	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.2263	0.0	0.872	0.128
0.0	0.0	1.0	0.0
-0.5106	0.18	0.82	0.0
0.5106	0.0	0.645	0.355
0.25	0.0	0.818	0.182
-0.4215	0.322	0.678	0.0
-0.5574	0.146	0.793	0.061
0.0	0.0	1.0	0.0
0.3818	0.0	0.755	0.245
0.4019	0.085	0.709	0.206
0.0	0.0	1.0	0.0
-0.1027	0.189	0.811	0.0
-0.5267	0.207	0.793	0.0
0.1531	0.082	0.794	0.124
0.0	0.0	1.0	0.0
-0.3818	0.224	0.776	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.34	0.169	0.493	0.338
0.8126	0.0	0.519	0.481
0.0	0.0	1.0	0.0
0.6369	0.0	0.658	0.342
-0.8815	0.299	0.701	0.0
-0.2782	0.086	0.863	0.05
-0.5106	0.174	0.751	0.075
0.4939	0.0	0.868	0.132
0.0	0.0	1.0	0.0
-0.6249	0.392	0.497	0.11
0.0	0.0	1.0	0.0
-0.5423	0.259	0.741	0.0
0.0772	0.198	0.535	0.267
0.0	0.0	1.0	0.0
-0.0516	0.118	0.882	0.0
-0.743	0.378	0.622	0.0
0.0	0.0	1.0	0.0
0.6249	0.0	0.797	0.203
0.0	0.0	1.0	0.0
0.7003	0.0	0.674	0.326
0.2023	0.066	0.824	0.11
0.0	0.0	1.0	0.0
0.4019	0.0	0.69	0.31
-0.1531	0.233	0.583	0.183
0.0	0.0	1.0	0.0
0.1027	0.106	0.739	0.155
0.3182	0.0	0.905	0.095
-0.1027	0.053	0.947	0.0
0.0	0.0	1.0	0.0
0.128	0.0	0.857	0.143
-0.765	0.291	0.709	0.0
-0.2023	0.231	0.769	0.0
-0.357	0.16	0.84	0.0
-0.1779	0.221	0.779	0.0
0.0	0.0	1.0	0.0
-0.8555	0.302	0.698	0.0
-0.7717	0.343	0.539	0.118
0.5719	0.0	0.619	0.381
-0.4215	0.286	0.714	0.0
-0.3818	0.312	0.529	0.159
0.4172	0.036	0.877	0.088
-0.5574	0.247	0.753	0.0
0.128	0.0	0.933	0.067
0.0	0.0	1.0	0.0
-0.5423	0.212	0.788	0.0
0.0	0.0	1.0	0.0
0.4019	0.063	0.799	0.138
0.2732	0.0	0.92	0.08
-0.1226	0.271	0.506	0.223
0.4019	0.0	0.722	0.278
0.0	0.0	1.0	0.0
-0.1027	0.135	0.865	0.0
0.0	0.0	1.0	0.0
-0.4404	0.394	0.606	0.0
0.3818	0.0	0.729	0.271
0.128	0.162	0.734	0.104
-0.3156	0.268	0.732	0.0
0.743	0.0	0.488	0.512
-0.0516	0.194	0.806	0.0
-0.4767	0.204	0.796	0.0
-0.4215	0.359	0.641	0.0
0.0772	0.188	0.602	0.211
0.5267	0.056	0.754	0.19
-0.6124	0.286	0.714	0.0
0.836	0.0	0.788	0.212
-0.4215	0.219	0.781	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.3818	0.0	0.698	0.302
0.25	0.0	0.889	0.111
0.0286	0.0	0.962	0.038
-0.4588	0.246	0.636	0.119
-0.2263	0.083	0.917	0.0
0.5423	0.0	0.862	0.138
0.0	0.0	1.0	0.0
-0.4215	0.219	0.781	0.0
-0.4215	0.237	0.763	0.0
-0.2732	0.139	0.861	0.0
0.3182	0.109	0.688	0.202
-0.5106	0.155	0.845	0.0
0.0	0.0	1.0	0.0
0.4404	0.0	0.633	0.367
-0.1027	0.123	0.877	0.0
-0.4215	0.237	0.763	0.0
-0.5106	0.171	0.829	0.0
